trial,span,depth,theta,ideal-span,ideal-depth,ideal-theta,magnitude
modelO-pin-stopper_1_rotateLeft_up-left,-0.187,0.096,2.334,0.228,0.13,15,0.21
modelO-pin-stopper_2_rotateLeft_up-left,-0.13,0.135,1.169,0.301,0.171,15,0.187
modelO-pin-stopper_1_rotateRight_up,0.024,0.108,2.386,0.0,0.108,15,0.111
modelO-pin-stopper_2_rotateRight_up,0.012,0.17,3.801,0.0,0.17,15,0.17
modelO-pin-stopper_1_rotateRight_up-right,0.133,0.087,1.169,0.227,0.129,15,0.159
modelO-pin-stopper_2_rotateRight_up-right,0.307,0.198,0.0,0.327,0.186,15,0.365
modelO-pin-stopper_1_rotateRight_right,0.847,-0.008,13.173,0.847,0.0,15,0.847
modelO-pin-stopper_2_rotateRight_right,0.795,0.023,6.072,0.795,0.0,15,0.795
modelO-pin-stopper_1_rotateRight_down-right,1.365,-0.121,48.468,1.167,0.665,15,1.37
modelO-pin-stopper_2_rotateRight_down-right,1.126,-0.257,25.008,1.261,0.718,15,1.155
modelO-pin-stopper_1_rotateRight_down,-0.007,-0.154,2.338,0.0,-0.154,15,0.154
modelO-pin-stopper_2_rotateRight_down,0.077,-0.159,1.169,0.0,-0.159,15,0.177
modelO-pin-stopper_1_rotateRight_down-left,-0.993,-0.241,29.739,1.016,0.578,15,1.022
modelO-pin-stopper_2_rotateRight_down-left,-1.334,-0.096,50.933,1.143,0.651,15,1.337
modelO-pin-stopper_1_rotateRight_left,-0.743,0.028,9.866,-0.743,0.0,15,0.744
modelO-pin-stopper_2_rotateRight_left,-0.581,0.107,16.793,-0.581,0.0,15,0.591
modelO-pin-stopper_1_rotateRight_up-left,-0.171,0.166,2.595,0.214,0.122,15,0.238
modelO-pin-stopper_2_rotateRight_up-left,-0.183,0.205,5.956,0.253,0.144,15,0.275
modelK-pin_1_noRotate_up,0.089,0.328,1.169,0.0,0.328,0,0.34
modelK-pin_2_noRotate_up,0.096,0.24,1.219,0.0,0.24,0,0.258
modelK-pin_1_noRotate_up-right,0.184,0.195,0.0,0.237,0.136,0,0.268
modelK-pin_2_noRotate_up-right,0.269,0.127,5.743,0.331,0.19,0,0.297
modelK-pin_1_noRotate_right,0.845,-0.03,8.294,0.845,0.0,0,0.846
modelK-pin_2_noRotate_right,0.562,-0.05,3.555,0.562,0.0,0,0.564
modelK-pin_1_noRotate_down-right,1.242,-0.187,33.294,1.072,0.616,0,1.256
modelK-pin_2_noRotate_down-right,1.178,-0.01,40.101,1.078,0.62,0,1.178
modelK-pin_1_noRotate_down,0.02,-0.417,1.219,0.0,-0.417,0,0.417
modelK-pin_2_noRotate_down,0.197,-0.269,0.0,0.0,-0.269,0,0.333
modelK-pin_1_noRotate_down-left,-1.354,-0.195,37.553,1.227,0.706,0,1.368
modelK-pin_2_noRotate_down-left,-1.087,-0.117,38.66,1.062,0.611,0,1.093
modelK-pin_1_noRotate_left,-0.699,0.04,16.531,-0.699,0.0,0,0.7
modelK-pin_2_noRotate_left,-0.655,-0.022,17.7,-0.655,0.0,0,0.655
modelK-pin_1_noRotate_up-left,-0.371,0.266,3.555,0.425,0.244,0,0.457
modelK-pin_2_noRotate_up-left,-0.285,0.235,1.219,0.324,0.186,0,0.369
modelK-pin_1_noRotate_rotate-clockwise,0.068,-0.097,17.429,0.0,0.0,17.429,0.118
modelK-pin_2_noRotate_rotate-clockwise,-0.084,-0.09,32.929,0.0,0.0,32.929,0.123
modelK-pin_1_noRotate_rotate-counterClockwise,0.059,0.071,22.891,0.0,0.0,22.891,0.092
modelK-pin_2_noRotate_rotate-counterClockwise,0.136,-0.079,16.26,0.0,0.0,16.26,0.157
modelK-pin_1_rotateLeft_up,-0.004,0.148,2.045,0.0,0.148,15,0.148
modelK-pin_2_rotateLeft_up,-0.013,0.158,1.219,0.0,0.158,15,0.159
modelK-pin_1_rotateLeft_up-right,0.106,0.252,1.004,0.283,0.163,15,0.273
modelK-pin_2_rotateLeft_up-right,0.263,0.065,2.338,0.232,0.133,15,0.271
modelK-pin_1_rotateLeft_right,0.495,0.054,3.013,0.495,0.0,15,0.498
modelK-pin_2_rotateLeft_right,0.577,-0.113,20.556,0.577,0.0,15,0.588
modelK-pin_1_rotateLeft_down-right,1.049,-0.322,29.476,1.038,0.597,15,1.097
modelK-pin_2_rotateLeft_down-right,1.106,-0.273,22.62,1.042,0.599,15,1.139
modelK-pin_1_rotateLeft_down,-0.089,-0.057,4.281,0.0,-0.057,15,0.106
modelK-pin_2_rotateLeft_down,0.039,-0.162,1.169,0.0,-0.162,15,0.167
modelK-pin_1_rotateLeft_down-left,-0.862,-0.139,46.042,1.007,0.579,15,0.873
modelK-pin_2_rotateLeft_down-left,-1.304,-0.256,20.556,1.134,0.652,15,1.329
modelK-pin_1_rotateLeft_left,-0.439,-0.012,12.171,-0.439,0.0,15,0.439
modelK-pin_2_rotateLeft_left,-0.654,-0.029,6.961,-0.654,0.0,15,0.655
modelK-pin_1_rotateLeft_up-left,-0.209,0.102,1.077,0.262,0.15,15,0.233
modelK-pin_2_rotateLeft_up-left,-0.285,0.133,2.438,0.271,0.156,15,0.315
modelK-pin_1_rotateRight_up,0.009,0.066,1.169,0.0,0.066,15,0.067
modelK-pin_2_rotateRight_up,0.022,0.179,1.169,0.0,0.179,15,0.18
modelK-pin_1_rotateRight_up-right,0.141,0.182,2.388,0.361,0.208,15,0.23
modelK-pin_2_rotateRight_up-right,0.377,0.086,0.04,0.388,0.223,15,0.387
modelK-pin_1_rotateRight_right,0.839,0.102,19.885,0.839,0.0,15,0.845
modelK-pin_2_rotateRight_right,0.823,-0.061,17.429,0.823,0.0,15,0.825
modelK-pin_1_rotateRight_down-right,1.019,-0.058,21.775,0.985,0.567,15,1.021
modelK-pin_2_rotateRight_down-right,1.221,-0.121,54.535,1.117,0.642,15,1.227
modelK-pin_1_rotateRight_down,0.003,-0.093,0.0,0.0,-0.093,15,0.093
modelK-pin_2_rotateRight_down,0.038,-0.152,1.169,0.0,-0.152,15,0.157
modelK-pin_1_rotateRight_down-left,-0.879,-0.228,11.483,0.797,0.458,15,0.908
modelK-pin_2_rotateRight_down-left,-1.274,-0.087,32.521,1.1,0.632,15,1.277
modelK-pin_1_rotateRight_left,-0.658,0.077,5.906,-0.658,0.0,15,0.662
modelK-pin_2_rotateRight_left,-0.845,-0.111,15.091,-0.845,0.0,15,0.852
modelK-pin_1_rotateRight_up-left,-0.34,0.067,1.169,0.393,0.226,15,0.347
modelK-pin_2_rotateRight_up-left,-0.425,0.119,1.169,0.378,0.217,15,0.441
2link-v-2link_1_noRotate_up,0.017,0.314,3.309,0.0,0.314,0,0.314
2link-v-2link_2_noRotate_up,0.006,0.342,0.0,0.0,0.342,0,0.342
2link-v-2link_1_noRotate_up-right,0.294,0.243,1.076,0.351,0.182,0,0.381
2link-v-2link_2_noRotate_up-right,0.256,0.26,4.552,0.344,0.179,0,0.365
2link-v-2link_1_noRotate_right,0.632,-0.049,2.243,0.632,0.0,0,0.634
2link-v-2link_2_noRotate_right,0.865,0.258,24.622,0.865,0.0,0,0.903
2link-v-2link_1_noRotate_down-right,0.294,-0.123,11.31,0.28,0.145,0,0.319
2link-v-2link_2_noRotate_down-right,0.402,-0.156,7.89,0.397,0.206,0,0.431
2link-v-2link_1_noRotate_down,0.101,-0.254,12.653,0.0,-0.254,0,0.273
2link-v-2link_2_noRotate_down,-0.033,-0.19,3.476,0.0,-0.19,0,0.193
2link-v-2link_1_noRotate_down-left,-0.361,-0.243,10.214,0.419,0.217,0,0.435
2link-v-2link_2_noRotate_down-left,-0.513,-0.248,5.697,0.523,0.272,0,0.57
2link-v-2link_1_noRotate_left,-0.643,-0.024,0.0,-0.643,0.0,0,0.643
2link-v-2link_2_noRotate_left,-0.847,0.233,15.137,-0.847,0.0,0,0.878
2link-v-2link_1_noRotate_up-left,-0.293,0.249,0.0,0.366,0.19,0,0.385
2link-v-2link_2_noRotate_up-left,-0.346,0.317,4.49,0.456,0.237,0,0.469
2link-v-2link_1_noRotate_rotate-clockwise,0.039,-0.04,27.487,0.0,0.0,27.487,0.056
2link-v-2link_2_noRotate_rotate-clockwise,0.074,0.019,34.813,0.0,0.0,34.813,0.076
2link-v-2link_1_noRotate_rotate-counterClockwise,0.044,-0.025,21.679,0.0,0.0,21.679,0.051
2link-v-2link_2_noRotate_rotate-counterClockwise,-0.041,0.008,16.519,0.0,0.0,16.519,0.042
2link-v-2link_1_rotateLeft_up,0.001,0.326,1.123,0.0,0.326,15,0.326
2link-v-2link_2_rotateLeft_up,-0.031,0.162,6.723,0.0,0.162,15,0.165
2link-v-2link_1_rotateLeft_up-right,0.274,0.294,7.967,0.383,0.199,15,0.402
2link-v-2link_2_rotateLeft_up-right,0.275,0.125,4.49,0.268,0.139,15,0.302
2link-v-2link_1_rotateLeft_right,0.707,-0.14,11.529,0.707,0.0,15,0.721
2link-v-2link_2_rotateLeft_right,0.517,-0.004,4.49,0.517,0.0,15,0.517
2link-v-2link_1_rotateLeft_down-right,0.33,-0.087,11.31,0.327,0.17,15,0.341
2link-v-2link_2_rotateLeft_down-right,0.361,-0.17,6.723,0.354,0.184,15,0.399
2link-v-2link_1_rotateLeft_down,-0.03,-0.069,4.476,0.0,-0.069,15,0.075
2link-v-2link_2_rotateLeft_down,0.043,-0.088,1.076,0.0,-0.088,15,0.098
2link-v-2link_1_rotateLeft_down-left,-0.414,-0.082,1.123,0.388,0.202,15,0.422
2link-v-2link_2_rotateLeft_down-left,-0.429,-0.152,2.203,0.491,0.255,15,0.455
