trial,span-norm,depth-norm,theta-norm,opt-span-norm,opt-depth-norm,opt-theta-norm,Differance
modelK-pin_2_noRotate_down,0.197,-0.269,0,0,-0.269,0,0.197
modelK-pin_1_noRotate_down-left,-1.354,-0.195,37.553,1.227,0.706,0,3.3891685442941606
modelK-pin_2_noRotate_down-left,-1.087,-0.117,38.66,1.062,0.611,0,2.943705504884429
modelK-pin_1_noRotate_left,-0.699,0.04,16.531,-0.699,0,0,0.32852037864718264
modelK-pin_2_noRotate_left,-0.655,-0.022,17.7,-0.655,0,0,0.3309232776029964
modelK-pin_1_noRotate_up-left,-0.371,0.266,3.555,0.425,0.244,0,0.8583504169731366
modelK-pin_2_noRotate_up-left,-0.285,0.235,1.219,0.324,0.186,0,0.6322436478546312
modelK-pin_1_noRotate_rotate-clockwise,0.068,-0.097,17.429,0,0,17.429,0.11846096403457132
modelK-pin_2_noRotate_rotate-clockwise,-0.084,-0.09,32.929,0,0,32.929,0.12310970717209915
modelK-pin_1_noRotate_rotate-counterClockwise,0.059,0.071,22.891,0,0,22.891,0.09231467922275416
modelK-pin_2_noRotate_rotate-counterClockwise,0.136,-0.079,16.26,0,0,16.26,0.15728000508646992
modelK-pin_1_rotateLeft_up,-0.004,0.148,2.045,0,0.148,15,0.2301074045958654
modelK-pin_2_rotateLeft_up,-0.013,0.158,1.219,0,0.158,15,0.25352382421733854
modelK-pin_1_rotateLeft_up-right,0.106,0.252,1.004,0.283,0.163,15,0.4423924096707158
modelK-pin_2_rotateLeft_up-right,0.263,0.065,2.338,0.232,0.133,15,0.2957264474536555
modelK-pin_1_rotateLeft_right,0.495,0.054,3.013,0.495,0,15,0.26321261743656027
modelK-pin_2_rotateLeft_right,0.577,-0.113,20.556,0.577,0,15,0.20997049324080494
modelK-pin_1_rotateLeft_down-right,1.049,-0.322,29.476,1.038,0.597,15,1.1717196925874707
modelK-pin_2_rotateLeft_down-right,1.106,-0.273,22.62,1.042,0.599,15,1.0073395584818527
modelK-pin_1_rotateLeft_down,-0.089,-0.057,4.281,0,-0.057,15,0.2760818425212722
modelK-pin_2_rotateLeft_down,0.039,-0.162,1.169,0,-0.162,15,0.28039648884333573
modelK-pin_1_rotateLeft_down-left,-0.862,-0.139,46.042,1.007,0.579,15,2.5439551791002035
modelK-pin_2_rotateLeft_down-left,-1.304,-0.256,20.556,1.134,0.652,15,2.698567694961317
modelK-pin_1_rotateLeft_left,-0.439,-0.012,12.171,-0.439,0,15,0.06137536453891963
modelK-pin_2_rotateLeft_left,-0.654,-0.029,6.961,-0.654,0,15,0.16930701856782415
modelK-pin_1_rotateLeft_up-left,-0.209,0.102,1.077,0.262,0.15,15,0.7164417338299743
modelK-pin_2_rotateLeft_up-left,-0.285,0.133,2.438,0.271,0.156,15,0.7757237767186704
modelK-pin_1_rotateRight_up,0.009,0.066,1.169,0,0.066,15,0.2503964888433357
modelK-pin_2_rotateRight_up,0.022,0.179,1.169,0,0.179,15,0.2633964888433357
modelK-pin_1_rotateRight_up-right,0.141,0.182,2.388,0.361,0.208,15,0.441651961461873
modelK-pin_2_rotateRight_up-right,0.377,0.086,0.04,0.388,0.223,15,0.39854215248658104
modelK-pin_1_rotateRight_right,0.839,0.102,19.885,0.839,0,15,0.187259333959923
modelK-pin_2_rotateRight_right,0.823,-0.061,17.429,0.823,0,15,0.10339404753094229
modelK-pin_1_rotateRight_down-right,1.019,-0.058,21.775,0.985,0.567,15,0.7441701736291182
modelK-pin_2_rotateRight_down-right,1.221,-0.121,54.535,1.117,0.642,15,1.4600711126030699
